Polish,English
nie,NO
to,this
się,myself
w,In
na,on
i,and
że,That
z,With
co,What
jest,Is
do,down
tak,Yes
o,about
jak,How
ale,But
a,and
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,you
po,after
tylko,Just
czy,Whether
tu,here
może,Maybe
jestem,I am
ma,has
ty,you
cię,you
mam,I have
jesteś,You are
już,Already
jeśli,If
dla,For
wiem,I know
coś,something
dobrze,All right
więc,So
od,From
teraz,Now
pan,Mr
wszystko,All
być,to be
będzie,will be
masz,You have
nic,nothing
tam,over there
mogę,I can
proszę,Please
jej,her
są,are
gdzie,Where
kiedy,When
ten,this
on,he
ciebie,you
by,by
sobie,yourself
ze,That
był,was
wiesz,You know
bardzo,Very
było,was
przez,By
jego,his
ją,I
chcę,I want
dlaczego,Why
pani,you
jeszcze,still
mój,my
nas,us
żeby,To
no,yeah
bo,because
chcesz,You want
ich,their
też,Too
tutaj,here
naprawdę,Really
nigdy,Never
mamy,We have
kto,Who
możesz,You can
dobra,All right
przepraszam,Sorry
mu,him
gdy,When
muszę,I have to
porządku,okay
dziękuję,Thank you
nawet,even
chyba,I guess
domu,home
ona,She
prawda,True
zrobić,to do
była,was
właśnie,Exactly
będę,I will
zawsze,Always
hej,Hi
nim,him
nam,U.S
te,these
moja,My
musisz,you have to
je,eats
dzięki,Thanks
bez,without
tej,this one
trochę,A bit
ktoś,someone
panie,sir
jesteśmy,We are
moje,my
powiedzieć,to say
który,which
czas,time
więcej,more
twój,your
musimy,we have to
lat,years
ta,yeah
chce,I want
możemy,We can
wszyscy,all
tobą,you
albo,or
prostu,simply
chodzi,goes
razem,Together
stało,happened
cześć,Hi
mną,me
czego,what
sam,alone
myślę,I think
pana,Mr
przed,Before
boże,God
raz,once
czemu,Why
będziesz,you will
niż,than
ludzie,People